Date,Open,High,Low,Close,Volume
2015-10-07,16805.42,16963.3,16765,16912.29,115715728
2015-10-08,16904.17,17081.28,16859.34,17050.75,100736408
2015-10-09,17054.69,17110.88,17027.23,17084.49,103744760
2015-10-12,17082.29,17139.21,17064.58,17131.86,72502384
2015-10-13,17113.55,17172.81,17034.45,17081.89,99668080
2015-10-14,17079.08,17111.38,16887.67,16924.75,120115712
2015-10-15,16944.86,17144.42,16933.57,17141.75,122976992
2015-10-16,17141.75,17220.02,17107.35,17215.97,145905712
2015-10-19,17209.43,17235.95,17129.19,17230.54,118445104
2015-10-20,17228.47,17264.88,17147.99,17217.11,106690592
2015-10-21,17225.93,17314.99,17153.13,17168.61,107138912
2015-10-22,17180.88,17505.18,17180.88,17489.16,153220592
2015-10-23,17525.11,17679.37,17525.11,17646.7,158119920
2015-10-26,17649.57,17660.7,17602.51,17623.05,116719776
2015-10-27,17608.89,17635.18,17540.57,17581.43,116742560
2015-10-28,17586.69,17779.95,17556.71,17779.52,115657120
2015-10-29,17771.5,17786,17684.72,17755.8,90327648
2015-10-30,17756.6,17799.96,17662.87,17663.54,149375520
2015-11-02,17672.62,17845.9,17655.02,17828.76,100843920
2015-11-03,17819.74,17977.85,17796.02,17918.15,92324760
2015-11-04,17929.58,17964.12,17828.83,17867.58,99922288
2015-11-05,17871.25,17929.51,17779.19,17863.43,98912280
2015-11-06,17855.22,17912.04,17768.6,17910.33,107472408
2015-11-09,17900.78,17900.78,17667.78,17730.48,121239328
2015-11-10,17724.13,17768.66,17657.72,17758.21,108645816
2015-11-11,17769.5,17807.18,17696.91,17702.22,95234808
2015-11-12,17691.93,17691.93,17443.5,17448.07,113846688
2015-11-13,17439.25,17439.25,17238.89,17245.24,134706352
2015-11-16,17229.94,17483.01,17210.43,17483.01,137592432
2015-11-17,17486.99,17599.33,17451.41,17489.5,167195648
2015-11-18,17485.49,17752.16,17485.49,17737.16,106826520
2015-11-19,17739.83,17772.97,17681.98,17732.75,114647536
2015-11-20,17732.75,17914.34,17732.75,17823.81,153158640
2015-11-23,17823.61,17868.18,17751.53,17792.68,134683536
2015-11-24,17770.9,17862.6,17683.51,17812.19,127184632
2015-11-25,17820.81,17854.92,17801.83,17813.39,82551056
2015-11-27,17806.04,17830.36,17749.32,17798.49,46829488
2015-11-30,17802.84,17837.24,17719.79,17719.92,155590912
2015-12-01,17719.72,17895.5,17719.72,17888.35,103917288
2015-12-02,17883.14,17901.58,17708.2,17729.68,102860464
2015-12-03,17741.57,17780.59,17425.56,17477.67,127001400
2015-12-04,17482.68,17866.47,17482.68,17847.63,137655200
2015-12-07,17845.49,17845.49,17639.25,17730.51,99673496
2015-12-08,17703.99,17703.99,17485.39,17568,113723000
2015-12-09,17558.18,17767.69,17403.51,17492.3,122037392
2015-12-10,17493.17,17697.74,17474.66,17574.75,107316936
2015-12-11,17574.75,17574.75,17230.5,17265.21,134527920
2015-12-14,17277.11,17378.02,17138.47,17368.5,142546576
2015-12-15,17374.78,17627.63,17341.18,17524.91,123430720
2015-12-16,17530.85,17784.36,17483.68,17749.09,123794744
2015-12-17,17756.54,17796.76,17493.5,17495.84,115812528
2015-12-18,17495.04,17496.58,17124.31,17128.55,344599392
2015-12-21,17154.94,17272.36,17116.73,17251.62,114923208
2015-12-22,17253.55,17451.11,17242.86,17417.27,91571784
2015-12-23,17427.63,17607.92,17427.63,17602.61,92822752
2015-12-24,17593.26,17606.34,17543.95,17552.17,40348500
2015-12-28,17535.66,17536.9,17437.34,17528.27,59769996
2015-12-29,17547.37,17750.02,17547.37,17720.98,69858664
2015-12-30,17711.94,17714.13,17588.87,17603.87,59761008
2015-12-31,17590.66,17590.66,17421.16,17425.03,93717456
2016-01-04,17405.48,17405.48,16957.63,17148.94,148086160
2016-01-05,17147.5,17195.84,17038.61,17158.66,105776304
2016-01-06,17154.83,17154.83,16817.62,16906.51,120277408
2016-01-07,16888.36,16888.36,16463.63,16514.1,176387328
2016-01-08,16519.17,16651.89,16314.57,16346.45,141870704
2016-01-11,16358.71,16461.85,16232.03,16398.57,127810880
2016-01-12,16419.11,16591.35,16322.07,16516.22,117483392
2016-01-13,16526.63,16593.51,16123.2,16151.41,153555152
2016-01-14,16159.01,16482.05,16075.12,16379.05,158927776
2016-01-15,16354.33,16354.33,15842.11,15988.08,239270048
2016-01-19,16009.45,16171.96,15900.25,16016.02,144397520
2016-01-20,15989.45,15989.45,15450.56,15766.74,191876384
2016-01-21,15768.87,16038.59,15704.66,15882.68,145166176
2016-01-22,15921.1,16136.79,15921.1,16093.51,145876896
2016-01-25,16086.46,16086.46,15880.15,15885.22,123267712
2016-01-26,15893.16,16185.79,15893.16,16167.23,119502528
2016-01-27,16168.74,16235.03,15878.3,15944.46,138431424
2016-01-28,15960.28,16102.14,15863.72,16069.64,130651944
2016-01-29,16090.26,16466.3,16090.26,16466.3,217981376
2016-02-01,16453.63,16510.98,16299.47,16449.18,114464128
2016-02-02,16420.21,16420.21,16108.44,16153.54,126231064
2016-02-03,16186.2,16381.69,15960.45,16336.66,141877984
2016-02-04,16329.67,16485.84,16266.16,16416.58,131491944
2016-02-05,16417.95,16423.63,16129.81,16204.97,139024992
2016-02-08,16147.51,16147.51,15803.55,16027.05,165892704
2016-02-09,16005.41,16136.62,15881.11,16014.38,127739760
2016-02-10,16035.61,16201.89,15899.91,15914.74,122604352
2016-02-11,15897.82,15897.82,15503.01,15660.18,172078880
2016-02-12,15691.62,15974.04,15691.62,15973.84,132566416
2016-02-16,16012.39,16196.41,16012.39,16196.41,142042784
2016-02-17,16217.98,16486.12,16217.98,16453.83,124094656
2016-02-18,16483.76,16511.84,16390.43,16413.43,104960968
2016-02-19,16410.96,16410.96,16278,16391.99,134354640
2016-02-22,16417.13,16664.24,16417.13,16620.66,102245720
2016-02-23,16610.39,16610.39,16403.53,16431.78,98167376
2016-02-24,16418.84,16507.39,16165.86,16484.99,93666968
2016-02-25,16504.38,16697.98,16458.42,16697.29,94129856
2016-02-26,16712.7,16795.98,16623.91,16639.97,98491704
2016-02-29,16634.15,16726.12,16510.4,16516.5,126224808
2016-03-01,16545.67,16865.56,16545.67,16865.08,105053952
2016-03-02,16851.17,16900.17,16766.32,16899.32,104481208
2016-03-03,16896.17,16944.31,16820.73,16943.9,91123696
2016-03-04,16945,17062.38,16898.84,17006.77,106927408
2016-03-07,16991.29,17099.25,16940.48,17073.95,100297344
2016-03-08,17050.67,17072.79,16921.51,16964.1,108383352
2016-03-09,16969.17,17048.5,16947.94,17000.36,116695088
2016-03-10,17006.05,17130.11,16821.86,16995.13,117576032
2016-03-11,17014.99,17220.09,17014.99,17213.31,123436000
2016-03-14,17207.49,17275.07,17161.16,17229.13,96350576
2016-03-15,17217.15,17251.7,17120.35,17251.53,92833552
2016-03-16,17249.34,17379.18,17204.07,17325.76,118732824
2016-03-17,17321.38,17529.01,17297.65,17481.49,118004280
2016-03-18,17487.93,17620.58,17486.08,17602.3,321248576
2016-03-21,17589.7,17644.97,17551.28,17623.87,84409992
2016-03-22,17602.71,17648.94,17540.42,17582.57,95462096
2016-03-23,17588.81,17588.81,17486.27,17502.59,84238504
2016-03-24,17485.33,17517.14,17399.01,17515.73,84103104
2016-03-28,17526.08,17583.81,17493.03,17535.39,70463120
2016-03-29,17512.58,17642.81,17434.27,17633.11,86166176
2016-03-30,17652.36,17790.11,17652.36,17716.66,79334752
2016-03-31,17716.05,17755.7,17669.72,17685.09,102601440
2016-04-01,17661.74,17811.48,17568.02,17792.75,104925312
2016-04-04,17799.39,17806.38,17710.67,17737,85236760
2016-04-05,17718.03,17718.03,17579.56,17603.32,115225880
2016-04-06,17605.45,17723.55,17542.54,17716.05,99425440
2016-04-07,17687.28,17687.28,17484.23,17541.96,90130968
2016-04-08,17555.39,17694.51,17528.16,17576.96,79994240
2016-04-11,17586.48,17731.63,17555.9,17556.41,107111864
2016-04-12,17571.34,17744.43,17553.57,17721.25,81018048
2016-04-13,17741.66,17918.35,17741.66,17908.28,91710448
2016-04-14,17912.25,17962.14,17885.51,17926.43,84513696
2016-04-15,17925.95,17937.65,17867.41,17897.46,118193640
2016-04-18,17890.2,18009.53,17848.22,18004.16,89410040
2016-04-19,18012.1,18103.46,17984.43,18053.6,89923976
2016-04-20,18059.49,18167.63,18031.21,18096.27,100267016
2016-04-21,18092.84,18107.29,17963.89,17982.52,102843736
2016-04-22,17985.05,18026.85,17909.89,18003.75,134125288
2016-04-25,17990.94,17990.94,17855.55,17977.24,83770456
2016-04-26,17987.38,18043.77,17934.17,17990.32,92674112
2016-04-27,17996.14,18084.66,17920.26,18041.55,109131992
2016-04-28,18023.88,18035.73,17796.55,17830.76,100929104
2016-04-29,17813.09,17814.83,17651.98,17773.64,136684560
2016-05-02,17783.78,17912.35,17773.71,17891.16,80127080
2016-05-03,17870.75,17870.75,17670.88,17750.91,97076136
2016-05-04,17735.02,17738.06,17609.01,17651.26,95022480
2016-05-05,17664.48,17736.11,17615.82,17660.71,81533560
2016-05-06,17650.3,17744.54,17580.38,17740.63,80032288
2016-05-09,17743.85,17783.16,17668.38,17705.91,85600584
2016-05-10,17726.66,17934.61,17726.66,17928.35,75795032
2016-05-11,17919.03,17919.03,17711.05,17711.12,87401120
2016-05-12,17722.01,17798.19,17625.38,17720.5,88590728
2016-05-13,17711.12,17734.74,17512.48,17535.32,86656656
2016-05-16,17531.76,17755.8,17531.76,17710.71,88441136
2016-05-17,17701.46,17701.46,17469.92,17529.98,103263568
2016-05-18,17501.28,17636.22,17418.21,17526.62,79282448
2016-05-19,17514.16,17514.16,17331.07,17435.4,95532192
2016-05-20,17437.32,17571.75,17437.32,17500.94,112011944
2016-05-23,17507.04,17550.7,17480.05,17492.93,87792376
2016-05-24,17525.19,17742.59,17525.19,17706.05,86496160
2016-05-25,17735.09,17891.71,17735.09,17851.51,79192400
2016-05-26,17859.52,17888.66,17803.82,17828.29,68942776
2016-05-27,17826.85,17873.22,17824.73,17873.22,73219896
2016-05-31,17891.5,17899.24,17724.03,17787.2,147415952
2016-06-01,17754.55,17809.18,17664.79,17789.67,78538656
2016-06-02,17789.05,17838.56,17703.55,17838.56,75564072
2016-06-03,17799.8,17833.17,17689.68,17807.06,82290808
2016-06-06,17825.69,17949.68,17822.81,17920.33,71886480
2016-06-07,17936.22,18003.23,17936.22,17938.28,78762584
2016-06-08,17931.91,18016,17931.91,18005.05,71261896
2016-06-09,17969.98,18005.22,17915.88,17985.19,69687632
2016-06-10,17938.82,17938.82,17812.34,17865.34,90549184
2016-06-13,17830.5,17893.28,17731.35,17732.48,101700744
2016-06-14,17710.77,17733.92,17595.79,17674.82,93753640
2016-06-15,17703.65,17762.96,17629.01,17640.17,94147480
2016-06-16,17602.23,17754.91,17471.29,17733.1,91949264
2016-06-17,17733.44,17733.44,17602.78,17675.16,248724608
2016-06-20,17736.87,17946.36,17736.87,17804.87,99384640
2016-06-21,17827.33,17877.84,17799.8,17829.73,85200032
2016-06-22,17832.67,17920.16,17770.36,17780.83,89460072
2016-06-23,17844.11,18011.07,17844.11,18011.07,98139928
2016-06-24,17946.63,17946.63,17356.34,17400.75,239013312
2016-06-27,17355.21,17355.21,17063.08,17140.24,138755824
2016-06-28,17190.51,17409.72,17190.51,17409.72,112209080
2016-06-29,17456.02,17704.51,17456.02,17694.68,106378688
2016-06-30,17712.76,17930.61,17711.8,17929.99,133033352
2016-07-01,17924.24,18002.38,17916.91,17949.37,82178760
2016-07-05,17904.45,17904.45,17785.28,17840.62,103671712
2016-07-06,17807.47,17926.91,17713.45,17918.62,93003920
2016-07-07,17924.24,17984.95,17816.65,17895.88,81577176
2016-07-08,17971.22,18166.77,17971.22,18146.74,93463488
2016-07-11,18161.53,18283.9,18161.53,18226.93,80887408
2016-07-12,18259.12,18371.95,18259.12,18347.67,90229552
2016-07-13,18356.78,18390.16,18315.76,18372.12,80919024
2016-07-14,18414.3,18537.57,18414.3,18506.41,87063160
2016-07-15,18508.88,18557.43,18471.62,18516.55,123709016
2016-07-18,18521.55,18556.13,18489.84,18533.05,75546344
2016-07-19,18503.12,18562.53,18495.11,18559.01,85952824
2016-07-20,18582.7,18622.01,18555.65,18595.03,93292360
2016-07-21,18589.96,18590.44,18469.67,18517.23,86818656
2016-07-22,18524.15,18571.3,18491.59,18570.85,87718128
2016-07-25,18554.49,18555.69,18452.62,18493.06,76821696
2016-07-26,18497.37,18522.47,18387.22,18473.75,87391512
2016-07-27,18473.27,18542.39,18430.94,18472.17,111391224
2016-07-28,18461.01,18483.26,18368.82,18456.35,85806728
2016-07-29,18442.52,18466.55,18371.12,18432.24,111575536
2016-08-01,18434.5,18467.03,18355.75,18404.51,83474616
2016-08-02,18401.15,18403.65,18247.79,18313.77,89688592
2016-08-03,18313.08,18355,18283.23,18355,78571824
2016-08-04,18351.43,18397.87,18325.17,18352.05,64511692
2016-08-05,18402.8,18543.53,18402.8,18543.53,92425584
2016-08-08,18540.65,18569.31,18502.03,18529.29,71807280
2016-08-09,18538.05,18585.32,18507.75,18533.05,60093820
2016-08-10,18541.48,18561.75,18468.78,18495.66,62778144
2016-08-11,18519.08,18638.34,18519.08,18613.52,71478384
2016-08-12,18595.65,18606.06,18535.86,18576.47,61584832
2016-08-15,18588.59,18668.44,18588.59,18636.05,62365944
2016-08-16,18614.48,18614.86,18550.65,18552.02,67571400
2016-08-17,18537.09,18582.35,18468.68,18573.94,71015576
2016-08-18,18566.54,18600.82,18533.29,18597.7,70763480
2016-08-19,18585.17,18585.17,18491.24,18552.57,93169208
2016-08-22,18535.86,18570.92,18466.86,18529.42,73454184
2016-08-23,18568.94,18631.6,18545.52,18547.3,73988184
2016-08-24,18537.5,18539.15,18448.27,18481.48,72267968
2016-08-25,18471.21,18497.68,18431.46,18448.41,64482596
2016-08-26,18467.92,18572.09,18335.34,18395.4,78728000
2016-08-29,18421.29,18523.09,18419.92,18502.99,64482808
2016-08-30,18491.28,18514.29,18408.52,18454.3,68916112
2016-08-31,18436.7,18439.68,18333.56,18400.88,98255088
2016-09-01,18396.57,18430.05,18295.48,18419.3,74784608
2016-09-02,18466.01,18544.76,18439.1,18491.96,74357152
2016-09-06,18493.4,18551.54,18450.32,18538.12,83719656
2016-09-07,18527.71,18536.89,18474.77,18526.14,67589760
2016-09-08,18486.69,18506.24,18446.69,18479.91,79075296
2016-09-09,18404.17,18404.17,18085.45,18085.45,120710368
2016-09-12,18028.95,18358.69,17994.84,18325.07,103256048
2016-09-13,18262.99,18262.99,18028.06,18066.75,102831352
2016-09-14,18073.39,18163.48,17992.21,18034.77,103376152
2016-09-15,18024.91,18250.11,18015.49,18212.48,99565080
2016-09-16,18217.21,18217.21,18070.21,18123.8,278537728
2016-09-19,18154.82,18254.88,18093.05,18120.17,78088968
2016-09-20,18175.36,18227.21,18128.8,18129.96,72467008
2016-09-21,18164.96,18307.43,18121.57,18293.7,94106064
2016-09-22,18343.76,18449.88,18343.76,18392.46,73032224
2016-09-23,18377.36,18383.76,18254.84,18261.45,87187664
2016-09-26,18217.76,18217.76,18083.32,18094.83,95517808
2016-09-27,18099.21,18238.1,18052.16,18228.3,84127472
2016-09-28,18240.22,18349.86,18179.34,18339.24,97654288
2016-09-29,18322.88,18366.23,18091.64,18143.45,95890248
2016-09-30,18181.8,18369.62,18181.8,18308.15,135474896
2016-10-03,18279.6,18279.8,18203.75,18253.85,68516584
2016-10-04,18267.68,18313.77,18116.26,18168.45,79705832
2016-10-05,18205.5,18315.82,18205.5,18281.03,76210808
2016-10-06,18280.42,18288.12,18162.97,18268.5,78655568
2016-10-07,18295.35,18319.73,18149.35,18240.49,82685544
2016-10-10,18282.95,18399.96,18282.95,18329.04,72117904
2016-10-11,18308.43,18312.33,18061.96,18128.66,88619712
2016-10-12,18132.63,18193.96,18082.09,18144.2,72231920
2016-10-13,18088.32,18137.7,17959.95,18098.94,83156720
2016-10-14,18177.35,18261.11,18138.38,18138.38,87059440
2016-10-17,18135.85,18162.28,18063.02,18086.4,75966048
2016-10-18,18145.06,18225.8,18129.45,18161.94,75964608
2016-10-19,18178.21,18252.2,18169.25,18202.62,88050208
2016-10-20,18161.87,18249.05,18129.07,18162.35,88932248
2016-10-21,18152.63,18168.76,18049.77,18145.71,117844960
2016-10-24,18197.14,18275.04,18191.18,18223.03,88549496
2016-10-25,18206.52,18241.69,18151.7,18169.27,83831264
2016-10-26,18103.8,18236.04,18062.3,18199.33,86337456
2016-10-27,18234.81,18253.2,18149.2,18169.68,83562416
2016-10-28,18193.79,18257.06,18094.97,18161.19,107851384
2016-10-31,18176.6,18193.68,18130.58,18142.42,110087984
2016-11-01,18158.24,18177.01,17940.84,18037.1,101285680
2016-11-02,18017.72,18044.15,17931.89,17959.64,88656840
2016-11-03,17978.75,18006.96,17904.07,17930.67,77891416
2016-11-04,17928.35,17986.76,17883.56,17888.28,97772872
2016-11-07,17994.64,18263.3,17994.64,18259.6,93457512
2016-11-08,18251.38,18400.5,18200.75,18332.74,79851696
2016-11-09,18317.26,18650.06,18252.55,18589.69,173111104
2016-11-10,18603.14,18873.66,18603.14,18807.88,164399152
2016-11-11,18781.65,18855.78,18736.96,18847.66,107299776
2016-11-14,18876.77,18934.05,18815.75,18868.69,112258496
2016-11-15,18858.21,18925.26,18806.06,18923.06,100674432
2016-11-16,18909.85,18909.85,18825.89,18868.14,87417680
2016-11-17,18866.22,18904.03,18845.27,18903.82,89936360
2016-11-18,18905.33,18915.74,18853.83,18867.93,109896840
2016-11-21,18898.68,18960.76,18883.1,18956.69,80533336
2016-11-22,18970.39,19043.9,18962.82,19023.87,85313784
2016-11-23,19015.52,19083.76,19000.38,19083.18,77881016
2016-11-25,19093.72,19152.14,19093.72,19152.14,45897884
2016-11-28,19122.14,19138.72,19072.25,19097.9,88463176
2016-11-29,19064.07,19144.4,19062.22,19121.6,81511088
2016-11-30,19135.64,19225.29,19123.38,19123.58,164585040
2016-12-01,19149.2,19214.3,19138.79,19191.93,108805456
2016-12-02,19161.25,19196.14,19141.18,19170.42,84923904
2016-12-05,19244.35,19274.85,19186.73,19216.24,92689240
2016-12-06,19219.91,19255.89,19184.74,19251.78,77807744
2016-12-07,19241.99,19558.42,19229.83,19549.62,112146528
2016-12-08,19559.94,19664.97,19527.83,19614.81,89787984
2016-12-09,19631.35,19757.74,19623.19,19756.85,91809664
2016-12-12,19770.2,19824.59,19747.74,19796.43,99770560
2016-12-13,19852.21,19953.75,19846.45,19911.21,99395256
2016-12-14,19876.13,19966.43,19748.67,19792.53,113293648
2016-12-15,19811.5,19951.29,19811.5,19852.24,93316328
2016-12-16,19909.01,19923.17,19821,19843.41,263537808
2016-12-19,19836.66,19917.78,19832.95,19883.06,85520704
2016-12-20,19920.59,19987.63,19920.42,19974.62,80816232
2016-12-21,19968.97,19986.56,19941.96,19941.96,71714688
2016-12-22,19922.68,19933.83,19882.19,19918.88,78050320
2016-12-23,19908.61,19934.15,19899.06,19933.81,47038200
2016-12-27,19943.46,19980.24,19939.8,19945.04,49056616
2016-12-28,19964.31,19981.11,19827.31,19833.68,58764280
2016-12-29,19835.46,19878.44,19788.94,19819.78,52675576
2016-12-30,19833.17,19852.55,19718.67,19762.6,103790112
2017-01-03,19872.86,19938.53,19775.93,19881.76,99921304
2017-01-04,19890.94,19956.14,19878.83,19942.16,81182120
2017-01-05,19924.56,19948.6,19811.12,19899.29,72358912
2017-01-06,19906.96,19999.63,19834.08,19963.8,75691024
2017-01-09,19931.41,19943.78,19887.38,19887.38,84808840
2017-01-10,19876.35,19957.12,19836.03,19855.53,91544736
2017-01-11,19887.38,19973.42,19833.16,19954.28,91098040
2017-01-12,19926.21,19929.29,19770.47,19891,77018792
2017-01-13,19912.54,19952.03,19849.38,19885.73,74988296
2017-01-17,19848.82,19882.99,19775.35,19826.77,95360448
2017-01-18,19822.73,19828.2,19739,19804.72,74543184
2017-01-19,19813.55,19824.14,19677.94,19732.4,79208256
2017-01-20,19795.06,19843.94,19759.14,19827.25,145548752
2017-01-23,19794.79,19833.98,19732.36,19799.85,82630088
2017-01-24,19794.68,19949.24,19786.71,19912.71,88955792
2017-01-25,19994.48,20082,19994.48,20068.51,91337832
2017-01-26,20076.25,20125.58,20067.53,20100.91,91055040
2017-01-27,20103.36,20115.97,20072.64,20093.78,84090672
2017-01-30,20028.62,20028.62,19870.39,19971.13,86086904
2017-01-31,19913.16,19918.17,19784.77,19864.09,108031464
2017-02-01,19923.81,19967.73,19845.99,19890.94,107265440
2017-02-02,19858.34,19922.75,19831.09,19884.91,89135136
2017-02-03,19964.21,20081.48,19964.21,20071.46,88342256
2017-02-06,20025.61,20094.95,20002.81,20052.42,74700160
2017-02-07,20107.62,20155.35,20068.68,20090.29,69873408
2017-02-08,20049.29,20068.28,20015.33,20054.34,70684424
2017-02-09,20061.73,20206.36,20061.73,20172.4,87837168
2017-02-10,20211.23,20298.21,20204.76,20269.37,83163808
2017-02-13,20338.54,20441.48,20322.95,20412.2,84375328
2017-02-14,20374.22,20504.41,20374.02,20504.41,89039448
2017-02-15,20504.27,20620.45,20496.03,20611.86,98434944
2017-02-16,20627.31,20639.87,20556.83,20619.77,91758152
2017-02-17,20564.13,20624.05,20532.61,20624.05,122560864
2017-02-21,20663.43,20757.64,20663.37,20743,92961768
2017-02-22,20715.41,20781.59,20692.39,20775.6,84353744
2017-02-23,20817.21,20840.7,20746.41,20810.32,79939096
2017-02-24,20751.91,20821.76,20733.95,20821.76,88863568
2017-02-27,20808.71,20851.33,20774.76,20837.44,71184000
2017-02-28,20833.88,20841.24,20781.21,20812.24,111104616
2017-03-01,20957.29,21169.11,20957.29,21115.55,106042632
2017-03-02,21128.91,21129.2,20996.61,21002.97,83352968
2017-03-03,21008.75,21039.96,20953.86,21005.71,75137728
2017-03-06,20955.71,20986.43,20912.11,20954.34,79610408
2017-03-07,20934.89,20970.54,20901.26,20924.76,72663144
2017-03-08,20940.44,20951.44,20835.58,20855.73,88717920
2017-03-09,20864.32,20900.57,20777.16,20858.19,76664336
2017-03-10,20919.01,20940.29,20827.66,20902.98,86041760
2017-03-13,20899.28,20926.06,20845.71,20881.48,77941888
2017-03-14,20848.6,20874,20786.31,20837.37,65804868
2017-03-15,20874.78,20977.47,20859.6,20950.1,80396000
2017-03-16,20969.27,21000.11,20893.5,20934.55,73976032
2017-03-17,20965.37,20980.51,20911.07,20914.62,296221792
2017-03-20,20916.27,20955.45,20885.7,20905.86,69360576
2017-03-21,20956.33,20970.04,20653.26,20668.01,96246192
2017-03-22,20640.42,20686.21,20578.95,20661.3,90625056
2017-03-23,20645.07,20757.89,20618.62,20656.58,78993192
2017-03-24,20674.45,20718.33,20529.67,20596.72,91647592
2017-03-27,20488.35,20578.46,20412.8,20550.98,79802256
2017-03-28,20542.14,20735.61,20520.1,20701.5,83845360
